ORF	SMF	SDV
YBR219C	1.038303	0.008193
YBR220C	1.016254	0.007143
YBR221C	0.946614	0.012472
YBR221W-A	1.076400	0.010167
YBR222C	1.023571	0.006418
YBR223C	1.047233	0.010287
YBR224W	0.875678	0.024419
YBR225W	0.960706	0.010032
YBR226C	0.901996	0.012131
YBR227C	1.010076	0.010910
YBR228W	1.033688	0.009205
YBR229C	1.012893	0.008016
YBR230C	1.011096	0.012804
YBR230W-A	1.005187	0.015621
YBR231C	0.908717	0.024150
YBR232C	0.978962	0.009807
YBR233W	1.007125	0.008420
YBR235W	1.026565	0.008839
YBR238C	0.988353	0.010205
YBR239C	1.022335	0.010773
YBR240C	1.013913	0.005842
YBR241C	1.016063	0.008305
YBR242W	1.070505	0.007903
YBR244W	1.032898	0.006724
YBR245C	0.999919	0.008195
YBR246W	0.978913	0.012030
YBR248C	0.247745	0.016922
YBR249C	1.042110	0.007613
YBR250W	1.058661	0.006497
YBR251W	0.524031	0.018388
YBR255C-A	0.992086	0.007538
YBR255W	0.963999	0.009938
YBR258C	0.974835	0.015531
YBR259W	1.004766	0.005682
YBR260C	1.008771	0.005845
YBR261C	0.979142	0.007567
YBR262C	1.042820	0.009850
YBR263W	1.042499	0.007039
YBR264C	1.025389	0.005205
YBR266C	0.603301	0.050365
YBR267W	0.526144	0.020757
YBR268W	0.334649	0.029392
YBR269C	1.009386	0.019907
YBR270C	1.049538	0.007768
YBR271W	1.007412	0.013171
YBR272C	1.018685	0.010039
YBR273C	1.039452	0.007786
YBR274W	1.005430	0.015967
YBR275C	1.000437	0.005240
YBR276C	1.004012	0.006024
YBR277C	1.011208	0.013465
YBR278W	1.005563	0.011553
YBR279W	0.305846	0.020896
YBR280C	1.016194	0.006481
YBR281C	1.025469	0.011759
YBR282W	0.490905	0.032378
YBR283C	0.960928	0.007243
YBR284W	0.993462	0.008218
YBR285W	0.993228	0.011959
YBR286W	1.021662	0.009463
YBR287W	1.020817	0.006141
YBR288C	0.983777	0.007657
YBR289W	0.298890	0.020147
YBR290W	1.042868	0.010659
YBR291C	1.025095	0.015135
YBR292C	0.937435	0.011447
YBR293W	1.039492	0.007638
YBR294W	1.053801	0.013026
YBR295W	1.022845	0.007243
YBR296C	1.049906	0.006670
YBR296C-A	1.022112	0.005716
YBR297W	0.989804	0.007010
YBR298C	0.978091	0.006243
YBR298C-A	0.995986	0.007458
YBR299W	1.008945	0.007297
YBR300C	0.982624	0.011802
YBR301W	1.052182	0.009514
YBR302C	1.064493	0.007489
YCL001W	0.992112	0.007267
YCL001W-A	1.034396	0.010842
YCL002C	1.020959	0.010941
YCL005W	NaN	NaN
YCL005W-A	NaN	NaN
YCL006C	1.048149	0.012886
YCL008C	0.397921	0.065815
YCL009C	1.066879	0.008048
YCL010C	0.827899	0.031260
YCL011C	1.050947	0.010244
YCL012C	NaN	NaN
YCL012W	1.023359	0.008615
YCL013W	1.010768	0.009023
YCL014W	1.017211	0.013672
YCL016C	0.948338	0.011032
YCL022C	1.050981	0.012273
YCL023C	0.991118	0.010841
YCL024W	0.988362	0.010821
YCL025C	0.949821	0.012142
YCL026C	1.029780	0.011038
YCL026C-A	1.057976	0.010974
YCL026C-B	NaN	NaN
YCL027W	1.019970	0.012082
YCL028W	1.036777	0.010716
YCL029C	0.975036	0.007071
YCL030C	NaN	NaN
YCL032W	0.817353	0.047870
YCL033C	1.043682	0.009678
YCL034W	1.034354	0.006323
YCL035C	1.057031	0.008254
YCL036W	1.093127	0.013749
YCL037C	0.634669	0.056122
YCL038C	1.027240	0.011763
YCL039W	0.978780	0.006772
YCL040W	1.034771	0.008394
YCL042W	1.005581	0.009303
YCL044C	0.969021	0.012587
YCL045C	1.041453	0.006846
YCL046W	1.018844	0.007986
YCL047C	1.029067	0.008933
YCL048W	1.045721	0.007871
YCL049C	1.005827	0.010460
YCL050C	0.996887	0.011688
YCL051W	1.025739	0.020382
YCL055W	0.989775	0.011322
YCL056C	1.033917	0.005665
YCL057C-A	NaN	NaN
YCL057W	1.066446	0.009461
YCL058W-A	NaN	NaN
YCL060C	0.973032	0.012149
YCL061C	0.876028	0.022574
YCL062W	0.862689	0.010904
YCL063W	0.937857	0.009101
YCL064C	1.088346	0.010047
YCL066W	NaN	NaN
YCL067C	NaN	NaN
YCL068C	NaN	NaN
YCL069W	1.038980	0.008712
YCL073C	NaN	NaN
YCL074W	1.049810	0.016176
YCL075W	0.964407	0.016731
YCL076W	0.970130	0.017227
YCR001W	1.059308	0.009637
YCR003W	0.586752	0.102702
YCR004C	NaN	NaN
YCR005C	1.072238	0.010706
YCR006C	1.049610	0.013755
YCR007C	1.015698	0.010346
YCR008W	0.917915	0.010890
YCR009C	0.695524	0.057596
YCR010C	1.022643	0.007455
YCR011C	1.087751	0.009982
YCR014C	1.119484	0.014222
YCR015C	1.047544	0.010507
YCR016W	1.005609	0.012886
YCR017C	1.055983	0.010594
YCR018C	NaN	NaN
YCR019W	1.046319	0.007864
YCR020C	1.077002	0.016837
YCR020C-A	1.031558	0.010373
YCR021C	1.097409	0.007745
YCR022C	1.075903	0.010005
YCR023C	1.039730	0.008907
YCR024C	0.307448	0.058854
YCR024C-A	0.993841	0.011270
YCR024C-B	NaN	NaN
YCR025C	1.083615	0.009207
YCR026C	1.071229	0.009422
YCR027C	1.041645	0.007391
YCR028C	0.417500	0.035084
YCR028C-A	0.615982	0.076004
YCR030C	1.043051	0.013777
YCR031C	0.948668	0.014239
YCR032W	1.002970	0.006543
YCR033W	1.033817	0.021175
YCR034W	1.038836	0.013643
YCR036W	1.063666	0.009049
YCR037C	1.078649	0.009561
YCR038C	NaN	NaN
YCR039C	NaN	NaN
YCR043C	1.092783	0.006191
YCR044C	1.046447	0.008059
